pH,BOD,SS,DO,CG,Type
6.821,0.256,14.893,9.119,22.79,1
7.147,0.124,16.148,8.44,14.786,1
7.689,0.865,6.444,9.56,41.449,1
7.857,0.485,0.687,7.862,1.374,1
7.151,0.336,18.757,8.906,29.748,1
7.601,0.667,24.925,8.918,0.82,1
6.961,0.057,22.719,7.886,48.543,1
7.097,0.44,8.484,9.48,20.123,1
8.236,0.831,12.369,8.356,23.22,1
8.055,0.525,9.239,7.851,46.542,1
7.16,0.917,20.393,9.689,48.161,1
6.613,0.758,18.451,9.05,26.705,1
8.157,0.708,16.982,8.117,10.988,1
6.632,0.738,5.264,8.035,35.467,1
7.268,0.226,5.548,8.269,35.486,1
7.781,0.961,4.546,8.014,32.99,1
8.193,0.234,23.237,8.211,13.55,1
6.811,0.595,10.312,9.52,3.256,1
7.407,0.996,20.906,8.889,4.49,1
6.525,0.242,16.901,8.627,10.705,1
8.361,0.457,9.413,9.031,11.827,1
8.037,0.495,6.572,7.539,13.467,1
7.431,0.934,19.548,7.65,34.255,1
7.98,0.629,11.545,8.348,9.076,1
7.359,0.961,5.485,9.744,3.455,1
7.049,0.357,14.782,7.523,18.287,1
7.896,0.269,10.786,9.605,24.601,1
7.545,0.433,10.411,9.082,24.186,1
8.386,0.327,1.799,8.678,16.797,1
8.453,0.925,11.505,9.65,44.322,1
7.629,0.212,19.513,9.731,24.276,1
7.223,0.908,0.428,9.526,40.771,1
7.905,0.956,0.866,8.62,39.884,1
8.308,0.604,7.275,9.557,4.005,1
7.907,0.349,11.586,8.909,31.554,1
6.557,0.818,13.604,9.162,49.619,1
7.602,0.983,12.085,9.607,24.218,1
7.516,0.666,1.947,7.621,44.335,1
6.7,0.502,3.791,9.98,41.221,1
6.9,0.378,11.421,8.982,6.747,1
7.037,0.82,24.735,7.966,11.916,1
6.534,0.017,1.215,9.33,45.346,1
7.3,0.692,0.821,7.549,2.267,1
6.736,0.826,18.912,8.299,2.202,1
7.614,0.707,7.417,9.084,15.72,1
8.427,0.369,0.385,9.109,7.824,1
8.269,0.536,2.414,9.786,28.318,1
6.608,0.355,6.725,9.591,1.603,1
8.396,0.032,2.581,9.721,0.904,1
7.859,0.469,19.563,9.501,36.905,1
8.096,0.213,8.933,7.995,12.261,1
8.433,0.176,21.238,7.725,20.428,1
7.446,0.719,6.599,8.465,30.651,1
6.615,0.749,3.3,7.56,1.644,1
7.649,0.571,0.639,9.445,22.879,1
6.973,0.781,15.215,8.811,47.219,1
8.084,0.686,15.196,8.746,19.287,1
8.039,0.212,15.112,9.531,1.213,1
7.071,0.885,7.262,8.589,32.126,1
7.223,0.905,24.108,9.36,5.585,1
6.643,0.001,9.983,8.436,34.925,1
8.262,0.714,8.559,9.511,30.758,1
6.797,0.965,6.032,8.364,5.963,1
7.018,0.453,21.468,8.266,15.781,1
7.81,0.919,14.973,8.937,18.828,1
8.449,0.564,15.21,8.316,24.489,1
7.01,0.335,18.438,7.673,40.36,1
7.874,0.865,8.076,8.087,43.652,1
8.061,0.69,14.294,9.222,19.253,1
7.135,0.695,16.736,8.547,21.485,1
6.765,0.654,0.105,8.06,23.134,1
6.587,0.036,18.556,9.363,35.244,1
6.505,0.759,24.257,8.49,42.341,1
8.379,0.402,7.197,7.711,36.635,1
7.884,0.735,16.557,9.687,27.718,1
8.312,0.807,14.365,9.357,6.179,1
7.317,0.411,23.553,9.479,7.021,1
8.103,0.358,24.784,8.425,8.446,1
8.287,0.837,12.308,8.605,0.925,1
7.245,0.283,4.664,9.634,9.874,1
7.982,0.817,9.604,9.532,4.164,1
6.617,0.281,8.443,9.712,26.573,1
7.563,0.679,21.328,8.765,21.933,1
7.95,0.965,17.847,7.958,1.102,1
7.016,0.242,17.995,8.667,15.145,1
8.342,0.304,21.521,8.971,21.774,1
7.107,0.111,8.53,7.943,41.949,1
7.249,0.987,19.217,8.752,15.768,1
7.627,0.724,2.162,9.951,26.308,1
6.532,0.905,15.277,8.673,47.373,1
7.816,0.895,8.89,9.325,1.525,1
7.776,0.986,18.855,8.446,43.913,1
7.319,0.928,21.975,9.424,26.08,1
7.592,0.704,6.942,8.707,20.624,1
7.226,0.41,23.602,9.314,36.0,1
6.869,0.504,0.231,8.4,7.039,1
7.932,0.273,22.233,9.265,17.07,1
8.001,0.988,16.056,9.807,34.032,1
7.275,0.804,21.083,8.001,11.364,1
6.516,0.004,20.696,7.573,28.61,1
8.27,0.282,6.385,9.784,8.958,1
8.251,0.831,8.876,9.499,48.536,1
7.852,0.632,11.162,8.756,35.242,1
6.818,0.038,16.149,8.808,4.381,1
8.45,0.308,15.832,8.99,8.198,1
6.711,0.197,12.124,8.974,38.941,1
7.545,0.562,16.572,8.018,36.577,1
8.39,0.528,14.578,7.626,10.025,1
7.044,0.302,2.159,7.552,38.595,1
6.733,0.881,15.973,9.862,4.0,1
7.615,0.763,8.376,9.651,23.498,1
6.898,0.615,3.81,8.409,41.403,1
7.042,0.442,4.921,9.948,21.995,1
6.944,0.712,14.026,8.494,17.027,1
6.861,0.662,4.823,9.72,30.362,1
7.617,0.44,13.458,8.817,35.401,1
6.829,0.653,11.999,8.876,43.833,1
8.458,0.653,18.637,9.43,23.765,1
6.745,0.97,20.367,9.837,38.495,1
6.755,0.061,11.23,8.907,43.006,1
8.003,0.897,17.151,8.13,38.153,1
6.937,0.721,16.075,9.376,15.448,1
8.012,0.773,19.145,9.256,17.972,1
6.924,0.785,1.668,8.843,33.926,1
7.476,0.344,23.341,9.339,23.369,1
7.815,0.647,3.392,7.508,3.114,1
8.223,0.43,1.629,7.99,1.478,1
7.592,0.503,13.162,8.397,15.652,1
8.071,0.782,7.176,9.929,27.603,1
7.561,0.992,7.317,9.04,5.45,1
7.854,0.022,12.236,8.986,11.74,1
7.658,0.266,19.558,8.714,31.519,1
7.115,0.186,14.692,7.684,31.616,1
6.595,0.089,19.462,9.917,0.786,1
8.033,0.528,6.059,7.957,43.836,1
7.966,0.43,22.705,9.43,27.777,1
6.971,0.162,11.05,9.393,7.078,1
8.079,0.848,0.458,9.393,4.088,1
6.506,0.674,15.26,8.636,2.524,1
7.941,0.723,23.362,9.331,4.07,1
7.166,0.137,4.639,8.729,17.062,1
8.228,0.112,3.846,7.603,2.419,1
8.068,0.187,23.889,9.808,14.425,1
7.222,0.582,5.879,7.816,8.746,1
8.028,0.786,21.785,8.3,5.883,1
8.013,0.315,21.898,7.571,4.648,1
6.651,0.961,19.331,9.789,26.786,1
7.148,0.52,8.496,8.841,3.568,1
8.098,0.974,20.902,8.893,41.75,1
6.943,0.713,5.332,8.319,39.029,1
7.761,0.509,13.329,9.715,46.423,1
7.703,0.658,21.491,8.608,21.263,1
7.64,0.865,11.283,7.798,33.939,1
7.791,0.941,12.098,8.934,8.73,1
7.687,0.469,0.575,9.743,37.375,1
8.371,0.382,10.227,7.972,35.044,1
6.761,0.363,12.197,9.531,30.828,1
6.746,0.544,0.427,9.301,40.82,1
6.993,0.988,20.834,9.91,14.809,1
6.663,0.593,10.574,8.055,45.857,1
6.571,0.165,12.43,7.973,49.295,1
6.925,0.238,6.563,9.974,41.548,1
7.594,0.899,13.921,8.217,34.504,1
7.623,0.158,9.69,8.558,26.349,1
7.663,0.897,6.324,7.694,10.595,1
7.367,0.451,6.148,7.916,43.955,1
7.594,0.375,17.5,8.923,15.734,1
7.952,0.725,8.164,9.994,38.117,1
6.614,0.728,15.058,8.936,23.639,1
7.054,0.158,6.919,8.868,34.965,1
6.681,0.101,15.89,7.912,13.531,1
8.313,0.644,7.825,9.688,31.291,1
6.89,0.953,7.912,8.77,43.864,1
6.584,0.803,10.467,9.923,1.968,1
6.897,0.361,10.687,8.369,22.805,1
7.357,0.463,3.116,8.55,33.666,1
7.884,0.882,4.082,9.181,17.431,1
6.817,0.118,17.805,7.597,23.861,1
7.763,0.432,23.858,9.069,32.332,1
6.59,0.131,16.959,9.558,40.783,1
7.016,0.272,2.695,7.553,21.161,1
8.481,0.061,10.657,7.877,31.964,1
7.431,0.451,15.146,8.572,42.986,1
7.167,0.025,16.373,8.267,38.733,1
6.85,0.867,24.971,9.906,14.91,1
6.505,0.586,19.363,9.757,47.124,1
7.374,0.281,20.594,9.373,25.022,1
6.991,0.034,3.678,9.605,4.885,1
7.599,0.046,22.893,8.659,36.481,1
6.909,0.835,5.284,7.504,36.117,1
7.937,0.149,6.039,9.902,17.656,1
7.065,0.218,8.874,9.789,8.103,1
6.947,0.741,7.172,8.925,16.077,1
6.76,0.241,3.79,9.557,17.06,1
6.55,0.598,19.973,9.83,17.365,1
7.704,0.97,24.02,7.825,29.508,1
7.88,0.464,18.558,9.987,32.976,1
8.409,0.319,16.093,9.262,3.028,1
6.508,0.31,15.326,7.998,9.914,1
7.488,0.66,7.974,9.261,46.549,1
8.223,0.343,2.117,8.897,19.412,1
7.513,0.982,20.92,9.979,22.358,1
6.678,0.218,0.148,8.037,46.528,1
7.476,0.403,19.427,8.805,43.924,1
6.998,0.933,23.541,8.983,27.204,1
8.24,0.477,20.575,8.203,30.69,1
6.533,0.707,20.723,9.183,16.566,1
7.727,0.265,24.905,7.669,9.818,1
6.514,0.462,12.362,9.43,47.113,1
8.404,0.071,22.222,9.566,31.508,1
7.533,0.911,10.669,7.911,34.782,1
6.787,0.54,7.326,8.336,31.741,1
6.825,0.222,14.84,9.7,42.067,1
7.549,0.069,1.077,9.405,23.781,1
6.524,0.057,20.756,8.741,36.615,1
6.57,0.354,15.661,9.862,45.91,1
6.786,0.504,19.13,8.162,23.771,1
6.5,0.314,13.077,8.12,27.399,1
8.486,0.411,13.335,8.128,21.433,1
8.093,0.14,0.21,9.98,5.97,1
7.702,0.937,7.985,9.109,20.931,1
8.419,0.386,8.728,7.95,3.805,1
7.524,0.497,3.958,9.599,9.323,1
6.996,0.445,20.1,9.747,45.851,1
6.617,0.247,6.621,9.53,12.818,1
7.715,0.713,6.715,9.183,26.858,1
7.195,0.946,11.186,7.83,17.543,1
6.607,0.752,3.516,8.383,19.575,1
7.479,0.942,12.752,9.227,6.152,1
6.721,0.95,15.44,7.848,28.896,1
8.437,0.758,17.396,9.512,20.965,1
8.401,0.938,4.284,9.902,28.836,1
6.739,0.639,10.225,9.906,41.543,1
8.403,0.81,14.534,7.951,15.781,1
7.5,0.058,11.254,8.826,31.817,1
7.546,0.921,24.33,8.482,37.712,1
7.2,0.103,8.067,8.22,0.991,1
7.189,0.921,11.292,7.688,3.228,1
8.105,0.799,1.585,7.867,35.185,1
7.617,0.997,14.358,9.436,35.159,1
6.891,0.183,17.22,7.948,2.544,1
8.264,0.548,22.491,9.739,11.314,1
6.52,0.768,6.801,9.898,44.201,1
7.808,0.163,4.628,8.486,13.892,1
6.708,0.367,1.792,8.389,31.342,1
6.517,0.91,16.261,7.805,27.725,1
6.831,0.458,12.115,8.879,23.333,1
6.854,0.56,2.877,8.686,44.742,1
6.769,0.616,14.105,8.792,3.192,1
7.833,0.421,21.869,7.581,35.368,1
6.719,0.552,14.731,9.057,49.495,1
6.688,0.634,10.954,8.768,35.027,1
7.758,0.202,16.756,7.506,11.671,1
8.18,0.744,13.765,8.05,11.422,1
6.704,0.931,5.539,7.626,38.254,1
7.965,0.809,23.147,9.795,24.868,1
7.215,0.994,15.062,8.481,12.74,1
7.943,0.6,17.751,9.47,39.106,1
6.58,0.458,11.666,8.555,7.08,1
6.808,0.618,9.718,9.609,2.052,1
8.2,0.458,3.466,8.378,24.6,1
7.079,0.574,12.224,8.66,38.612,1
7.848,0.891,13.583,7.522,10.362,1
6.917,0.493,10.14,8.886,2.994,1
7.185,0.867,7.401,8.943,41.876,1
7.104,0.375,1.484,9.75,5.947,1
6.735,0.5,14.499,9.75,37.178,1
7.238,0.503,19.886,9.716,21.572,1
7.189,0.259,15.411,8.169,36.454,1
6.914,0.669,7.036,8.24,5.999,1
7.969,0.436,13.365,9.929,6.883,1
7.008,0.684,13.358,8.586,19.407,1
8.376,0.238,3.654,7.577,28.12,1
6.706,0.208,10.929,8.962,17.705,1
7.773,0.568,4.053,7.807,7.12,1
7.663,0.197,6.469,9.89,13.145,1
7.863,0.441,2.098,9.232,23.532,1
8.193,1.69,10.909,8.286,89.448,2
6.658,1.931,21.066,8.762,50.559,2
8.346,1.137,7.422,8.598,11.635,2
7.169,0.123,18.572,8.555,72.405,2
6.81,1.535,2.004,9.552,60.91,2
6.507,1.073,21.726,8.488,91.302,2
8.356,1.44,13.136,9.059,90.524,2
8.064,0.787,2.646,9.762,97.05,2
6.784,1.689,1.283,9.347,90.926,2
8.243,1.132,11.843,7.548,36.731,2
6.509,0.28,1.641,8.05,87.223,2
8.38,1.019,10.094,9.396,95.944,2
8.205,0.419,10.929,9.61,63.238,2
8.004,1.468,11.512,8.166,59.43,2
7.57,1.873,12.974,8.437,56.237,2
6.701,1.317,1.218,9.174,8.161,2
7.605,1.518,13.983,7.96,55.249,2
7.203,1.649,18.881,9.822,93.095,2
7.884,1.114,6.446,8.383,70.159,2
7.172,0.874,20.094,8.327,63.673,2
7.731,1.957,13.679,8.955,87.907,2
7.597,0.658,12.806,9.422,65.563,2
7.742,1.06,11.683,9.184,13.056,2
6.621,1.213,13.656,9.027,50.619,2
7.913,1.742,0.427,9.875,15.063,2
6.795,1.638,19.593,9.649,67.145,2
7.977,1.111,0.764,9.029,14.81,2
6.953,1.932,23.649,9.17,4.778,2
7.597,1.416,16.338,8.563,92.239,2
7.93,1.239,24.656,7.606,40.167,2
7.202,1.065,11.493,9.994,24.767,2
8.275,1.97,4.382,7.547,7.965,2
7.412,1.582,15.45,9.802,4.968,2
6.616,1.694,17.217,9.091,18.212,2
6.648,1.368,9.877,7.863,17.989,2
8.475,1.966,10.472,8.487,45.831,2
7.577,1.114,17.903,9.138,48.386,2
6.508,1.251,0.221,9.13,46.79,2
7.038,1.0,6.278,7.614,76.949,2
7.543,0.412,5.517,8.164,67.751,2
7.712,0.538,17.018,9.753,67.182,2
8.113,0.174,14.993,7.877,94.801,2
6.655,0.725,7.794,7.556,62.82,2
6.766,1.667,14.879,9.312,18.531,2
8.39,1.514,10.57,7.628,92.914,2
6.784,0.051,21.041,9.788,53.774,2
7.266,1.872,22.857,9.784,84.64,2
8.346,1.575,16.619,9.066,80.062,2
6.958,1.675,5.694,8.578,95.836,2
8.153,0.724,23.337,7.542,85.109,2
6.721,1.905,18.029,8.54,71.895,2
6.711,0.832,17.701,9.882,87.648,2
7.96,1.4,19.482,8.168,16.005,2
7.305,0.331,3.75,8.434,62.772,2
7.623,1.63,17.387,8.806,65.533,2
8.287,1.464,24.481,9.215,12.156,2
6.97,0.383,3.717,9.503,58.381,2
6.969,0.393,16.886,9.715,72.029,2
6.767,1.169,5.766,9.052,99.376,2
8.358,1.707,13.979,7.721,43.013,2
6.745,1.86,13.593,8.259,65.477,2
6.828,1.827,11.579,8.634,17.327,2
7.493,1.647,11.568,8.651,13.84,2
6.722,1.88,3.849,7.845,53.747,2
7.606,1.919,1.875,9.475,13.184,2
6.859,0.063,9.633,7.532,66.017,2
8.435,0.669,6.913,8.631,56.762,2
7.97,0.653,10.391,9.284,67.558,2
7.23,1.262,1.057,8.165,70.271,2
7.651,1.061,8.612,9.735,60.802,2
7.374,0.734,6.532,8.959,69.671,2
8.325,0.73,13.906,9.848,78.835,2
7.502,0.698,14.379,9.87,80.36,2
7.265,0.409,16.9,7.84,56.788,2
7.828,1.508,16.273,8.097,37.822,2
7.437,1.417,1.305,9.155,59.086,2
7.843,0.871,13.478,8.426,66.666,2
8.304,1.928,18.001,7.52,61.665,2
7.587,0.285,21.415,9.637,52.679,2
6.526,1.544,23.91,7.588,47.727,2
8.086,1.219,5.029,9.068,69.353,2
8.467,1.004,19.947,9.562,3.374,2
8.275,1.906,8.032,8.06,30.522,2
7.769,0.624,14.662,7.526,62.576,2
8.321,1.13,7.151,8.753,84.438,2
7.002,1.276,3.322,8.604,92.555,2
7.383,1.512,22.186,9.345,19.786,2
7.084,1.969,16.945,9.664,12.517,2
7.205,1.261,4.642,8.153,63.754,2
6.62,1.583,19.343,9.488,86.8,2
7.76,1.528,0.448,9.362,27.855,2
6.999,1.155,14.522,9.876,19.628,2
8.454,1.233,10.502,9.574,81.235,2
6.865,0.586,1.528,7.915,96.115,2
6.563,1.877,2.627,8.087,72.224,2
8.475,1.433,12.195,8.702,12.615,2
6.836,1.08,20.1,8.017,14.458,2
8.049,0.56,5.331,9.194,70.094,2
6.598,1.81,13.83,8.264,89.864,2
7.25,1.054,24.008,8.494,29.093,2
7.112,0.66,22.161,7.682,81.747,2
6.651,0.553,16.775,8.104,74.587,2
6.863,1.881,1.54,7.646,5.02,2
7.803,0.181,20.145,9.301,94.283,2
6.628,0.697,7.721,9.378,56.964,2
7.444,0.675,19.549,9.555,90.042,2
8.318,1.309,3.23,9.612,30.339,2
7.769,1.077,10.254,9.341,44.654,2
8.421,1.526,18.13,8.936,0.39,2
6.501,0.816,20.708,8.786,81.126,2
7.979,1.417,22.113,8.482,41.694,2
7.623,1.316,17.821,7.908,76.632,2
6.874,1.316,1.298,9.756,83.309,2
8.134,1.548,0.212,9.981,25.615,2
7.061,0.251,8.413,9.577,90.993,2
7.812,0.071,4.046,8.757,68.432,2
8.485,0.363,8.088,9.461,95.115,2
8.368,0.721,12.113,8.671,56.539,2
6.874,0.365,4.428,9.794,75.264,2
7.934,1.526,4.64,9.468,33.859,2
7.23,1.263,21.584,7.768,31.245,2
7.974,1.3,16.72,8.03,77.944,2
7.153,1.105,24.66,7.743,4.729,2
8.227,1.119,8.847,9.761,55.68,2
7.217,1.837,8.527,9.789,46.634,2
7.966,1.667,16.59,8.501,91.328,2
6.71,0.386,17.533,9.265,70.225,2
7.69,0.079,24.178,8.148,58.685,2
6.987,1.425,9.98,9.13,0.365,2
8.318,1.438,18.4,8.473,10.955,2
7.958,1.239,24.407,8.665,73.218,2
8.351,0.232,7.501,8.44,88.763,2
7.013,1.933,6.707,9.917,59.431,2
7.479,1.23,6.509,9.159,9.186,2
7.117,0.291,1.475,9.903,80.576,2
6.703,0.076,4.949,9.579,99.556,2
7.363,1.867,4.568,8.382,44.071,2
7.803,1.315,13.358,9.689,12.207,2
6.952,0.721,19.124,8.667,94.261,2
6.528,0.351,8.589,9.95,86.997,2
6.733,1.838,15.004,7.922,51.285,2
7.408,1.866,19.316,8.494,46.77,2
7.119,1.451,24.049,9.199,52.348,2
6.94,1.056,17.456,9.065,4.364,2
7.975,0.458,13.827,9.084,93.925,2
8.445,0.667,7.639,8.718,59.965,2
7.66,1.824,16.868,9.891,60.908,2
7.899,0.593,6.498,8.499,85.193,2
7.054,1.516,12.383,7.537,87.506,2
8.17,0.863,3.224,7.704,89.956,2
7.659,1.343,5.681,8.28,17.149,2
7.623,0.102,3.508,9.468,74.757,2
7.519,0.574,3.498,7.817,70.691,2
8.261,1.535,6.863,9.526,35.137,2
7.547,0.509,1.68,8.072,65.278,2
7.778,0.133,4.763,8.497,59.093,2
6.769,1.21,9.242,7.769,80.934,2
8.492,0.975,21.953,9.537,97.11,2
7.341,1.275,19.388,8.109,67.625,2
6.824,1.731,13.66,8.84,80.476,2
7.609,0.369,24.931,7.961,83.965,2
6.594,1.296,3.755,7.63,49.77,2
8.081,0.288,16.705,9.73,70.104,2
8.196,0.429,11.54,8.712,96.951,2
6.995,1.264,22.114,7.901,26.658,2
7.208,0.669,11.554,8.343,61.083,2
7.926,1.444,0.813,7.737,97.254,2
7.304,0.923,1.454,8.139,69.155,2
7.375,1.433,9.661,7.509,89.854,2
7.688,1.991,22.265,8.97,8.131,2
8.406,0.996,20.306,9.348,62.034,2
6.601,0.025,0.24,9.391,90.506,2
7.982,0.285,21.896,9.704,68.534,2
8.181,0.645,4.115,9.348,94.465,2
7.756,0.136,10.591,8.037,59.355,2
8.161,1.797,0.099,8.787,91.218,2
7.595,0.566,23.349,7.91,80.379,2
6.754,0.937,23.103,9.07,55.755,2
7.416,1.521,14.444,8.432,82.466,2
8.498,1.052,20.035,9.725,40.938,2
7.67,0.903,0.136,8.137,82.511,2
8.273,1.631,17.884,8.811,38.574,2
8.049,0.181,6.241,8.064,91.439,2
7.619,0.067,20.449,8.68,58.553,2
8.066,1.639,4.082,9.649,52.961,2
7.075,0.502,5.99,9.997,65.286,2
6.64,0.027,5.207,9.949,85.796,2
8.182,0.08,12.983,8.775,78.142,2
7.41,0.045,2.073,9.393,57.062,2
7.642,0.185,3.894,8.017,61.498,2
8.35,0.308,23.902,9.27,98.651,2
6.572,0.134,4.283,9.221,80.924,2
7.385,0.731,16.393,8.237,63.225,2
8.461,1.559,13.778,7.641,89.812,2
8.277,1.175,24.036,9.612,50.538,2
7.403,1.733,19.843,9.71,31.921,2
7.635,0.172,16.622,8.717,72.489,2
7.24,1.616,18.584,7.672,79.06,2
7.723,2.0,18.718,8.025,77.462,2
6.587,1.094,20.314,9.272,79.73,2
7.57,1.966,8.609,8.052,72.01,2
8.396,0.588,17.635,8.057,99.173,2
6.988,1.338,6.434,8.103,85.765,2
6.746,1.704,24.434,7.747,59.94,2
7.619,0.86,9.702,9.988,57.869,2
7.625,1.614,18.156,9.327,8.516,2
8.144,0.521,2.025,8.233,70.002,2
7.228,1.71,12.992,8.947,23.785,2
7.507,1.017,9.134,8.253,59.108,2
7.457,0.494,3.652,9.168,73.308,2
7.537,1.231,3.139,8.81,5.257,2
7.502,0.992,19.696,9.002,66.938,2
7.644,1.748,24.775,8.293,41.198,2
6.971,1.918,6.066,8.678,57.805,2
6.872,1.143,15.306,8.996,75.772,2
7.761,1.036,21.5,8.18,11.863,2
8.127,1.233,4.815,9.603,31.347,2
7.089,1.998,4.267,8.742,67.287,2
7.465,0.825,9.491,9.831,86.024,2
8.375,1.508,6.629,8.288,15.872,2
7.411,0.157,12.125,7.715,75.652,2
6.84,0.127,19.915,9.464,61.298,2
6.896,1.555,6.242,9.67,33.442,2
8.017,1.725,6.125,9.923,91.961,2
7.124,1.666,8.324,7.666,15.469,2
7.719,1.05,14.074,9.082,53.313,2
7.053,1.485,15.254,8.361,73.674,2
7.402,1.634,0.444,9.669,60.724,2
8.415,1.462,20.64,9.538,49.702,2
6.944,1.362,8.113,9.748,4.255,2
7.03,1.158,22.253,8.311,83.174,2
7.925,0.125,19.073,7.868,68.219,2
7.723,1.936,10.031,9.737,58.434,2
6.762,1.938,3.553,8.575,15.881,2
6.509,1.902,4.98,8.401,40.678,2
6.547,0.785,0.722,7.551,68.832,2
8.364,0.794,6.016,9.668,93.23,2
8.12,1.155,15.973,7.984,56.006,2
7.722,1.666,10.724,9.503,51.338,2
8.135,1.735,13.507,9.726,86.583,2
6.687,0.802,14.89,8.67,90.618,2
7.634,0.962,8.011,7.594,54.466,2
6.611,0.409,23.519,9.073,62.256,2
8.054,0.648,13.495,8.36,64.62,2
6.764,1.546,17.09,8.894,40.533,2
7.941,1.135,12.448,9.809,44.884,2
8.089,0.321,6.885,9.554,88.995,2
7.488,1.756,22.184,8.864,77.758,2
6.823,0.416,16.238,9.743,75.485,2
6.543,0.372,22.913,9.219,93.372,2
7.635,0.162,17.711,8.685,91.261,2
8.318,0.725,13.835,8.267,52.243,2
7.145,1.995,4.106,8.205,50.276,2
8.253,1.71,1.585,8.963,80.077,2
6.789,1.946,4.38,9.252,72.499,2
6.621,1.2,3.242,7.99,73.069,2
7.789,1.038,15.713,8.906,70.18,2
7.55,0.3,24.878,8.058,85.993,2
7.674,0.235,22.64,9.038,54.327,2
6.935,0.098,20.908,8.278,58.625,2
7.402,1.323,19.696,9.595,73.0,2
6.807,0.048,19.849,8.749,71.982,2
7.211,0.085,11.846,9.964,99.335,2
7.367,0.748,16.558,9.15,95.097,2
7.332,0.166,10.354,7.912,75.823,2
7.495,1.908,11.12,8.282,28.799,2
7.946,1.23,5.094,9.152,22.118,2
7.255,1.425,22.329,7.924,29.261,2
6.766,0.228,20.215,9.95,76.387,2
6.575,0.265,0.968,9.008,84.509,2
7.35,1.963,4.102,9.83,71.65,2
8.167,1.158,13.662,7.893,91.913,2
8.322,1.492,5.051,9.87,36.864,2
7.453,1.962,14.755,8.776,12.894,2
7.562,1.479,12.952,8.721,58.224,2
7.213,1.759,22.229,8.355,35.344,2
6.785,0.314,20.492,9.409,75.885,2
7.697,1.07,11.968,8.782,35.271,2
7.66,1.774,24.255,9.746,72.018,2
7.001,1.256,20.11,8.024,51.841,2
8.5,0.761,24.664,9.849,99.949,2
7.76,1.39,10.461,9.591,54.148,2
8.447,1.451,19.884,7.692,96.438,2
7.432,1.867,8.241,8.571,42.493,2
