MolecularWeight,TPSA,Complexity,HeavyAtomCount,RotatableBondCount,RDKit_logP,RDKit_TPSA,RDKit_MolWt,LD50
153.56,29.4,154,10,1,2.3073,29.43,153.568,1.563
102.52,28.7,48.1,6,0,1.0631,28.68,102.524,2.289
99.09,50.1,110,7,2,0.07308,50.09,99.089,3.491
230.09,29.1,230,14,2,3.3419,29.1,230.094,3.029
234.08,80.3,199,13,6,1.8048,80.29,234.081,5.139
409.4,40.5,537,29,6,4.791,40.54,409.423,3.466
238.57,28.7,247,15,0,3.3742,28.68,238.571,5.08
274.5,54.6,290,14,2,2.5549,46.17,274.556,1.731
759.9,189,1300,53,7,2.9678,188.98,759.931,2.117
64.06,20.2,10,4,1,-0.0518,20.23,64.059,4.108
272.13,58.7,348,17,2,2.5589,58.69,272.135,2.242
227.13,137,292,16,0,1.71962,129.42,227.132,2.456
301.13,34.1,360,18,1,3.6119,34.14,301.139,3.303
342.8,71.3,474,23,2,4.20402,43.07,342.855,1.99
214.69,40.5,197,14,2,2.3184,40.46,214.692,2.412
126.2,17.1,119,9,3,2.3218,17.07,126.199,1.557
229.3,105,191,12,5,0.9829,47.56,229.263,3.582
86.09,26.3,49.5,6,3,0.3454,26.3,86.09,2.842
285.4,105,251,16,8,2.5417,47.56,285.371,4.552
167.25,20.3,173,12,1,1.9415,20.31,167.252,2.655
306.4,102,284,18,7,3.87314,44.24,306.393,3.589
116.2,20.2,43.7,8,4,1.9475,20.23,116.204,1.654
172.23,17.8,152,13,2,2.23982,17.82,172.231,2.236
324.5,101,338,18,6,4.6098,18.46,324.473,3.365
253.9,26.3,154,12,4,3.2648,26.3,253.94,2.234
303.67,36.1,200,18,6,3.2148,36.09,303.675,2.199
323.31,38.3,398,23,4,4.7449,38.33,323.314,1.51
297.3,55.4,377,22,6,3.20102,55.4,297.354,2.115
410.4,44.8,385,19,5,5.6707,44.76,410.415,3.584
168.2,51.6,116,9,4,2.5989,26.3,168.198,3.828
249.09,41.6,228,15,2,3.0185,41.57,249.097,2.337
562.1,57.5,928,40,13,8.80512,57.53,562.15,2.525
144.21,26.3,106,10,4,1.8416,26.3,144.214,1.052
319.5,37.9,320,18,1,4.5505,37.91,319.497,3.986
151.16,52.3,147,11,2,1.0554,52.32,151.165,1.716
358.9,31.8,420,24,3,5.8171,6.48,358.938,2.476
75.11,46.3,22.9,5,1,-0.6741,46.25,75.111,1.554
197.23,32.6,201,15,2,3.1428,32.59,197.237,1.751
301.41,106,218,20,11,1.4903,81.19,301.416,2.333
313.27,9.2,190,18,9,5.3556,9.23,313.279,3.098
132.16,38.7,100,9,1,0.1302,38.69,132.159,1.276
306.4,118,313,16,9,2.4518,52.6,306.411,4.611
419.8,12.4,369,30,24,10.6255,12.36,419.782,1.897
174.24,57.5,134,12,6,1.6483,57.53,174.24,1.71
98.14,20.2,98,7,2,0.7806,20.23,98.145,2.515
204.05,29.1,174,12,1,2.9518,29.1,204.056,1.697
403.02,45.8,181,11,5,1.118,37.38,403.023,2.174
168.11,91.6,175,12,0,1.503,86.28,168.108,3.307
197.03,46.5,94.2,9,4,0.3053,46.53,197.028,2.472
200.28,19,229,15,1,2.587,19.03,200.285,2.686
126.11,39.4,111,9,2,1.0662,39.44,126.111,2.624
427.5,108,524,30,19,-1.2882,108.16,427.498,1.875
198.31,67.6,167,14,3,0.73557,65.14,198.314,2.276
192.17,55.8,261,14,1,1.5072,59.67,192.17,1.704
104.15,0,68.1,8,1,2.3296,0,104.152,1.319
116.16,26.3,76.6,8,3,1.2055,26.3,116.16,0.938
312.4,26.3,179,13,4,3.3193,26.3,312.418,2.319
154.25,17.1,149,11,1,2.6477,17.07,154.253,1.571
162.23,27.7,58.4,11,8,1.076,27.69,162.229,1.514
286.7,0,127,11,0,4.3621,0,286.747,2.725
268.35,23.6,265,20,4,4.1594,23.55,268.36,1.989
154.12,92.1,156,11,0,0.8826,89.39,154.125,1.808
158.28,20.2,61.9,11,8,3.1194,20.23,158.285,1.525
308.4,109,402,18,7,2.53992,53.35,308.365,3.836
108.09,34.1,149,8,0,0.2506,34.14,108.096,2.92
126.11,50.4,102,9,2,0.5844,50.44,126.111,1.703
248.36,47.9,163,17,11,1.9941,47.92,248.363,2.13
167.2,52.5,130,12,3,0.645,52.49,167.208,2.679
336.4,41.1,260,17,3,3.8476,41.13,336.433,2.129
120.15,17.1,82.6,9,2,1.428,17.07,120.151,1.889
126.2,17.1,103,9,4,2.3218,17.07,126.199,1.799
249.3,3.2,326,19,0,3.9031,3.24,249.357,2.395
146.14,52.6,114,10,5,0.1126,52.6,146.142,2.563
179.22,37.2,162,13,3,2.2555,37.19,179.223,2.713
154.16,43.4,179,11,4,1.2084,43.37,154.165,1.736
82.14,0,45.1,6,0,2.1166,0,82.146,1.625
186.27,25.3,116,13,2,3.8378,0,186.279,2.58
130.23,20.2,67,9,4,2.1951,20.23,130.231,1.772
310.4,52.6,307,22,9,4.2986,52.6,310.434,1.288
454.6,89.5,429,32,22,3.6668,89.52,454.56,1.671
169.22,12.9,132,13,2,2.6724,12.89,169.227,2.455
168.23,18.5,222,12,1,2.4517,18.46,168.236,2.925
149.47,0,28.4,5,0,2.2715,0,149.48,1.86
324.4,60.9,454,24,5,3.4934,60.85,324.38,2.994
129.16,12.9,111,10,0,2.2348,12.89,129.162,2.555
263.21,107,279,16,4,3.0878,78.67,263.211,3.788
190.35,45.5,76.2,12,9,3.0724,20.23,190.352,1.349
274.4,26.3,481,20,6,4.1261,26.3,274.404,2.213
152.15,57.5,155,11,1,1.39882,57.53,152.149,2.534
266.29,50.4,348,20,3,4.2879,50.44,266.296,2.448
103.16,23.5,37.1,7,3,-0.0696,23.47,103.165,1.685
435,64.7,345,22,4,1.4886,64.68,434.966,1.86
219.28,29.5,232,16,5,2.8075,29.54,219.284,2.201
328.8,88.9,513,21,2,2.2759,80.47,328.821,1.739
224.22,78.7,322,16,2,-1.574,82.05,224.22,2.499
174.24,20.2,290,13,5,1.5692,20.23,174.243,2.843
137.18,32.3,79.3,10,3,1.0908,32.26,137.182,1.789
149.15,78.8,95.6,10,5,-1.3028,78.79,149.146,1.467
311.5,23.5,422,23,5,3.9624,23.47,311.469,2.618
134.13,73.1,72.2,9,4,-1.0456,73.13,134.135,1.252
326.9,41.6,325,22,9,3.3455,41.57,326.868,3.338
154.17,51.6,104,8,3,2.2088,26.3,154.171,4.269
195.22,66.6,309,14,3,-0.2019,70.02,195.222,1.929
160.17,69.6,156,11,4,-0.556,69.64,160.173,1.28
294.35,66.9,486,21,4,1.4127,66.92,294.351,1.996
168.15,60.4,287,12,1,0.2213,60.44,168.148,2.527
296.4,73,405,20,3,4.82829,17.29,296.42,1.472
335.6,59.8,295,17,5,4.933,27.69,335.576,3.029
219.26,119,255,14,5,0.2828,93.78,219.266,3.964
317.3,152,546,20,3,1.0565,134.76,317.344,1.538
306.4,43.4,521,23,3,4.23956,43.37,306.361,1.583
331.5,44.8,342,18,5,4.9481,44.76,331.519,1.942
177.03,52,108,10,0,2.1578,52.04,177.034,2.403
293.27,98.4,426,21,7,1.7568,95.74,293.275,1.768
62.07,40.5,6,4,1,-1.029,40.46,62.068,1.121
131.17,23.8,153,10,0,2.17512,23.79,131.178,1.641
368.5,97.2,486,20,1,3.1893,88.84,368.551,3.647
170.21,72.2,219,12,2,0.7836,72.19,170.212,1.277
270.36,52.6,260,19,10,3.0893,52.6,270.369,1.619
271.31,58.6,302,20,5,2.0843,58.56,271.316,2.002
200.16,28.7,217,14,0,2.89012,28.68,200.163,3.502
178.1,121,194,12,5,-1.3746,121.13,178.096,1.694
118.17,29.5,45.8,8,4,0.7938,29.46,118.176,1.674
159.19,75.8,138,11,4,1.2387,75.76,159.189,2.454
332.36,108,391,21,7,3.93112,73.63,332.362,2.92
126.18,21.2,74.9,8,0,1.6809,20.23,126.18,2.851
257.31,80.9,347,17,5,1.3395,72.47,257.311,2.706
322.31,118,489,23,5,3.8881,112.58,322.317,3.745
129.24,26,52.5,9,5,2.304,26.02,129.247,3.007
230.31,110,187,16,9,0.087,110.24,230.312,1.964
220.35,20.2,148,16,8,4.6853,20.23,220.356,2.134
116.16,26.3,68.9,8,4,1.3496,26.3,116.16,0.948
244.4,110,201,15,5,1.04522,52.74,244.389,2.214
84.12,27,66.9,6,1,0.07158,27.03,84.122,3.226
250.34,41.6,279,18,4,2.90262,41.57,250.342,3.572
303.3,152,531,19,2,0.9154,134.76,303.317,1.425
273.71,53.1,362,19,2,4.1626,53.09,273.719,3.568
361.4,81.4,450,26,9,4.1279,78.67,361.369,3.025
328.1,89.8,359,21,4,3.7753,89.79,328.151,2.516
205.6,0,69.1,9,3,3.8319,0,205.588,1.944
198.3,26.3,203,14,3,3.1544,26.3,198.306,1.635
232.35,57,179,15,3,-0.3469,56.95,232.356,1.603
315.07,47.1,334,19,2,3.9057,47.14,315.078,3.498
104.15,58.3,32.9,7,4,-1.473,58.28,104.153,1.541
291.26,107,314,18,6,3.8713,78.67,291.265,4.211
94.54,20.2,22.9,5,1,0.606,20.23,94.541,2.637
231.29,29.5,320,17,3,2.94762,33.45,231.295,1.665
230.3,86.1,146,12,7,2.8736,35.53,230.291,3.76
341.55,67.4,211,21,14,1.1124,67.41,341.553,1.96
138.21,9.2,129,10,2,2.1536,9.23,138.21,1.75
227.3,23.5,223,17,3,3.1208,23.47,227.307,3.959
333.2,74.3,367,18,5,3.006,40.62,333.237,2.824
210.21,66.8,166,13,7,2.3121,66.76,210.21,1.785
108.59,25.3,37.9,5,1,1.3406,0,108.593,3.434
221.28,81.6,247,15,3,2.96877,53.31,221.281,1.743
263.7,80.9,330,16,4,1.7748,72.47,263.702,2.841
265.35,52.7,382,19,4,0.5805,52.65,265.357,2.297
114.14,34.1,91.1,8,3,0.9446,34.14,114.144,1.74
312.5,143,296,17,5,3.9007,41.9,312.507,4.747
198.22,52.6,232,14,8,1.2234,52.6,198.218,1.748
190.22,85.2,207,12,2,0.7653,59.92,190.224,3.589
130.23,20.2,74.6,9,3,2.051,20.23,130.231,1.835
414.5,84,647,30,4,2.2806,84.02,414.502,2.937
186.34,29.3,86.1,13,9,2.2374,29.26,186.343,2.356
219.28,49.3,242,16,5,1.5885,49.33,219.284,2.203
252.7,86.5,320,17,4,1.81338,86.52,252.709,2.94
232.32,33.6,247,17,4,2.5461,33.62,232.327,2.792
132.2,0,212,10,0,2.3846,0,132.206,2.573
102.17,20.2,46.1,7,2,1.5574,20.23,102.177,2.158
163,20.2,97.1,9,0,2.699,20.23,163.003,2.449
288.22,68.3,299,17,8,2.4154,68.31,288.221,4.88
411.9,55.8,593,29,5,3.8157,59.57,411.933,2.916
90.08,57.5,59.1,6,1,-0.5482,57.53,90.078,1.383
102.09,41.9,75.3,7,0,-0.0425,41.9,102.093,1.833
117.11,61.8,103,8,0,-0.061,61.77,117.108,2.621
134.6,17.1,91.2,8,2,1.8404,17.07,134.606,2.389
87.12,12.5,46.8,6,0,-0.0941,12.47,87.122,2.324
201.18,93.1,196,14,4,-0.2014,90.42,201.182,1.975
127.14,50.1,133,9,4,0.85328,50.09,127.143,1.091
171.63,29,129,11,1,1.50442,29.02,171.631,5.138
135.21,3.2,82.7,10,2,1.7482,3.24,135.21,2.708
134.09,61.8,104,9,4,0.5358,61.83,134.087,2.712
174.2,59,150,12,5,1.9264,58.97,174.2,2.287
205.46,18.5,123,10,0,2.118,18.46,205.468,2.733
228.09,28,150,12,2,3.0094,27.96,228.093,2.732
249.29,87.7,266,17,4,3.1235,59.42,249.291,3.266
358.5,65.8,396,25,4,6.46084,40.46,358.547,1.752
369.3,67.8,433,26,9,3.6147,67.79,369.339,3.102
158.15,60.4,181,11,4,-0.0464,60.44,158.153,1.969
224.16,61.3,215,15,3,2.0877,61.27,224.157,2.321
72.06,26.3,40.2,5,2,0.3029,26.3,72.063,1.407
221.68,20.3,262,15,3,2.2801,20.31,221.687,2.278
302.5,101,218,16,8,4.8932,18.46,302.467,4.782
314.17,62.6,293,17,5,4.2411,30.49,314.174,3.066
221.32,44.6,208,15,2,1.8887,12.47,221.325,3.646
303.77,86.9,409,19,3,1.3387,78.51,303.771,1.87
102.56,0,66.3,6,0,1.9438,0,102.564,2.506
263.4,23.5,261,19,4,4.0488,23.47,263.425,2.408
305.72,83.6,359,18,6,3.48798,51.48,305.723,3.634
289.13,67.1,223,16,5,2.0879,64.4,289.129,4.16
382.4,71.1,588,28,5,3.0472,71.06,382.412,3.619
278.3,34.1,437,21,2,4.1496,34.14,278.351,2.24
140.09,26.3,113,8,2,2.2038,26.3,140.094,5.406
254.29,70.1,210,15,9,3.4509,44.76,254.288,5.229
130.14,34.3,92.5,9,4,-0.1994,34.29,130.143,2.461
200.23,40.5,157,15,2,2.6886,40.46,200.237,1.607
294.82,33.6,347,20,5,3.8356,33.62,294.826,3.525
98.1,26.3,124,7,0,0.8371,26.3,98.101,1.401
107.15,23.8,138,8,0,1.86628,23.79,107.156,2.367
121.14,86.7,54,8,3,-2.3392,86.71,121.136,1.312
274.79,16.1,249,19,5,3.8186,16.13,274.795,3.367
268.26,52.6,440,20,3,3.1229,56.51,268.268,2.23
222.37,20.2,265,16,7,4.3979,20.23,222.372,1.569
246.2,137,371,16,3,0.3297,128.97,246.196,1.976
212.2,87,206,15,4,1.3702,86.99,212.201,2.005
374.6,89.2,391,24,6,5.6492,6.48,374.6,2.273
505,174,658,31,9,0.5065,148.79,504.97,2.417
149.21,64.3,124,9,2,0.1067,63.32,149.215,1.384
196.25,50.6,149,11,5,2.7773,18.46,196.252,4.448
468.3,57.5,668,32,6,6.10172,57.53,468.336,3.489
206.71,37.3,126,13,9,3.4306,37.3,206.713,1.616
299.15,50.6,265,16,5,4.7381,18.46,299.159,4.197
88.11,18.5,38.8,6,0,0.3792,18.46,88.106,1.468
340.19,74.8,602,24,2,1.1018,74.76,340.188,2.209
342.8,109,446,19,7,3.19332,53.35,342.81,3.581
206.24,70.7,298,15,2,0.86938,70.71,206.249,2.721
100.12,26.3,88.1,7,0,0.7119,26.3,100.117,1.056
154.25,12.5,153,11,1,2.4559,12.53,154.253,1.348
169.22,26,141,13,1,2.9358,26.02,169.227,2.529
291.24,80.7,460,19,6,0.8739,82.89,291.244,4.765
156.2,42.5,182,10,1,1.0901,34.14,156.206,2.026
414.5,113,515,29,18,4.6248,113.29,414.539,1.839
164.24,17.1,207,12,3,2.4237,17.07,164.248,1.553
312.83,41.6,311,21,8,2.9554,41.57,312.841,3.018
356.4,143,450,24,8,5.0486,112.58,356.4,3.385
285.36,83.1,374,19,7,2.1955,74.68,285.365,2.251
150.17,26.3,134,11,2,1.92032,26.3,150.177,1.898
334.37,115,349,24,8,1.2742,114.74,334.376,2.455
280.3,54.4,409,21,3,3.34042,54.37,280.323,3.06
163,20.2,97.1,9,0,2.699,20.23,163.003,2.449
242.34,76.3,264,16,2,1.8272,51.02,242.348,4.208
331.4,49.8,474,24,4,4.1643,49.77,331.456,3.314
524.9,26.3,803,38,21,11.5425,26.3,524.874,1.822
221.64,46.2,335,15,1,1.2541,46.17,221.643,2.155
233.29,96.3,256,16,2,2.28602,68.01,233.296,2.219
178.65,26.3,104,11,7,2.3487,26.3,178.659,1.56
172.26,26.3,110,12,8,2.91,26.3,172.268,1.759
241.89,20.2,122,10,0,3.4615,20.23,241.899,2.253
312.4,35.5,358,23,7,4.6028,35.53,312.409,2.18
210.3,85,371,12,0,0.081,68.28,210.276,2.262
171.32,26,91,12,7,3.3302,26.02,171.328,2.37
184.19,41.8,209,14,1,2.8229,41.82,184.198,2.566
123.15,35.3,77,9,1,1.2774,35.25,123.155,1.944
348.35,128,787,25,4,-1.309,127.96,348.359,3.71
317.4,130,256,17,10,2.4963,47.56,317.438,4.246
245.9,34.1,277,12,0,2.5166,34.14,245.876,1.789
403.3,61.2,541,27,6,4.52802,61.19,403.265,2.39
154.12,77.8,157,11,1,0.796,77.76,154.121,2.285
85.1,29.1,67.9,6,1,-0.0816,29.1,85.106,2.252
394.4,96,611,29,10,2.6334,95.97,394.379,1.596
229.71,62.7,193,15,4,2.1672,62.73,229.715,2.095
192.25,26.3,169,14,5,2.8895,26.3,192.258,1.482
278.34,63.6,314,20,9,3.758,63.6,278.348,2.317
169.19,73.6,128,9,3,0.8476,41.49,169.186,2.325
195.26,44.5,163,14,4,1.5935,44.48,195.262,3.058
208.21,81.4,235,15,4,0.2579,81.42,208.217,2.058
346.5,71.1,299,24,17,5.6406,71.06,346.464,2.531
288.3,126,449,18,2,1.3332,108.74,288.302,0.983
250.25,58.9,332,19,4,3.212,58.86,250.257,1.435
204.31,38.7,107,14,10,1.9807,38.69,204.31,1.842
173.13,93.4,302,13,0,1.33816,90.72,173.131,2.309
137.22,3.2,92.1,10,6,1.8464,3.24,137.226,2.125
400.5,53.4,528,30,9,5.5614,53.35,400.478,2.302
302.3,129,450,18,7,-1.5264,111.8,302.326,3.128
146.14,52.6,114,10,5,0.1126,52.6,146.142,1.329
232.07,20.2,222,14,3,2.4973,20.23,232.07,2.32
246.19,47.1,275,17,2,2.5989,47.14,246.188,3.768
98.1,26.3,106,7,2,0.1827,26.3,98.101,2.594
211.26,29.1,233,16,2,3.24732,29.1,211.264,1.547
303.3,58.7,481,23,2,3.34912,60.92,303.321,2.482
335.68,74.3,413,21,7,3.4031,79.9,335.68,3.982
186.17,71.8,189,13,0,-0.6281,71.82,186.175,2.297
602.7,96.3,1220,46,7,5.597,96.28,602.694,5.064
157.12,43.1,153,11,1,1.0637,43.09,157.119,1.678
157.21,63.3,139,11,2,0.8361,63.32,157.213,1.719
370.6,52.6,320,26,19,6.066,52.6,370.574,1.609
322.5,101,268,18,8,5.1915,18.46,322.457,3.696
99.17,26,46.1,7,0,1.2778,26.02,99.177,2.803
364.5,46.3,508,27,9,5.0332,46.33,364.533,3.014
146.57,42.5,123,7,2,0.5245,34.14,146.57,3.467
71.08,43.1,57.9,5,1,-0.3423,43.09,71.079,2.758
322.32,102,477,20,7,1.8537,71.81,322.323,5.003
214.09,23.8,208,13,2,3.3219,23.79,214.095,2.331
255.35,23.5,246,19,5,3.901,23.47,255.361,3.96
73.14,12,11.1,5,2,0.6158,12.03,73.139,2.132
238.29,53.6,265,18,3,2.87842,53.6,238.294,3.474
174.09,66.8,158,11,2,1.1581,66.76,174.092,1.881
381.4,9.2,292,23,10,7.0132,9.23,381.398,3.183
114.15,23.6,101,8,0,-0.0164,23.55,114.148,1.958
218.19,120,316,14,2,0.3371,111.9,218.186,1.95
181.23,12,181,14,0,3.3344,12.03,181.238,1.928
276.21,74.9,352,19,2,3.2081,72.24,276.214,2.545
132.16,35.5,86.3,9,4,0.5844,35.53,132.159,1.329
100.12,26.3,76.1,7,3,0.7355,26.3,100.117,2.887
111.14,33,100,8,4,1.10268,33.02,111.144,1.932
313.31,90.5,332,20,7,2.9436,58.4,313.319,3.69
158.65,25.3,77,9,1,3.0619,0,158.653,2.598
304.8,40.9,316,20,4,5.25574,15.6,304.846,2.979
210.65,26.3,205,14,4,2.9163,26.3,210.66,2.343
192.21,50.7,216,14,3,2.6309,50.69,192.218,2.096
191.23,38.3,227,14,1,1.7909,38.33,191.23,2.014
206.28,37.3,203,15,4,3.0732,37.3,206.285,2.511
195.26,43.7,146,14,5,0.78602,43.7,195.262,1.799
269.81,12.5,235,18,6,4.0399,12.47,269.816,2.774
146.3,50.6,58.9,8,5,2.7398,0,146.28,2.75
122.17,52,92.9,9,0,1.15942,52.04,122.171,3.078
206.24,57.1,232,15,3,2.2053,57.06,206.249,2.607
112.17,17.1,86.4,8,3,1.6435,17.07,112.172,1.297
176.17,91.6,187,12,1,1.097,86.28,176.172,3.547
283.79,29.5,283,19,6,3.62152,29.54,283.799,1.934
138.17,61.3,108,10,1,0.8596,61.27,138.17,2.478
179.22,12.9,181,14,0,3.388,12.89,179.222,1.952
136.15,26.3,95.4,10,3,1.3596,26.3,136.15,1.988
152.15,101,76.1,10,4,-2.9463,101.15,152.146,0.965
266.34,70.6,263,19,7,1.3827,70.59,266.341,1.887
160.32,1,76.8,10,5,3.6652,0,160.326,1.461
307.31,104,464,19,6,1.0366,74.61,307.312,4.789
232.3,66.6,190,13,4,3.7545,9.23,232.31,3.412
303.35,62.3,418,22,5,0.9181,62.3,303.358,2.059
164.2,26.3,165,12,2,2.20622,26.3,164.204,2.039
227.04,34.1,301,14,0,2.7548,34.14,227.046,3.152
163.17,49.3,171,12,2,1.5167,49.33,163.176,2.244
102.13,26.3,43.3,7,4,0.6119,26.3,102.133,2.055
167.16,55.1,147,12,2,1.9935,52.37,167.164,1.705
176.25,27.7,79.8,12,8,1.8121,27.69,176.256,2.042
388.5,89.9,806,28,5,3.7175,89.9,388.46,3.249
166.16,27.7,55.7,10,6,2.3228,27.69,166.157,1.715
275.35,44.8,403,20,2,1.7739,44.81,275.352,4.787
177.24,20.3,157,13,3,2.1686,20.31,177.247,1.948
130.17,73.2,145,8,0,-0.6208,41.13,130.172,2.093
284.74,35.8,427,20,1,2.6092,35.83,284.746,3.153
93.13,12.9,52.1,7,0,1.39002,12.89,93.129,2.367
211.17,97,228,15,4,0.0197,94.36,211.177,2.238
211.64,46.2,230,14,3,2.2576,46.17,211.648,1.261
176.17,64.7,244,13,1,0.5992,64.68,176.175,2.606
211.05,17.1,157,11,2,2.6213,17.07,211.058,2.163
174.15,54.4,280,13,0,1.3274,54.37,174.155,3.192
192.25,26.3,190,14,4,2.5708,26.3,192.258,1.765
169.38,0,62,7,1,2.6217,0,169.385,1.712
102.13,37.3,68.5,7,2,1.1171,37.3,102.133,1.766
361,55.8,367,20,4,3.7202,55.84,361.008,2.489
283.79,29.5,273,19,6,3.50534,29.54,283.799,2.204
344.25,67.6,300,20,7,2.1115,67.59,344.253,2.8
100.12,26.3,76.1,7,3,0.7355,26.3,100.117,2.097
129.2,15.8,81,9,4,0.727,15.77,129.203,2.488
414.8,145,628,27,7,1.8257,136.58,414.827,2.005
172.55,46.5,116,9,4,1.4471,46.53,172.548,2.14
213.23,71,228,16,2,3.3898,70.97,213.24,2.039
164.59,43.4,133,10,5,0.7475,43.37,164.588,2.915
126.58,0,62.8,8,0,2.64842,0,126.586,1.78
169.14,80.7,139,9,3,0.8499,55.4,169.142,2.949
152.23,17.1,171,11,4,2.878,17.07,152.237,1.487
234.3,101,266,14,2,2.2605,50.69,234.346,5.361
410.6,69.1,537,29,7,4.9764,43.78,410.583,3.022
159.44,0,67.3,7,2,2.5867,0,159.443,2.852
173.19,88.8,210,11,1,0.5155,80.39,173.193,1.149
164.2,37.3,167,12,2,1.6402,37.3,164.204,1.986
235.28,47.6,303,17,2,2.42672,47.56,235.283,4.292
76.12,84.1,29,4,0,-0.8113,52.04,76.124,2.785
462.5,110,813,34,7,0.67052,112.92,462.51,2.586
204.27,46.3,216,15,1,1.9447,46.33,204.273,2.413
340.5,35.5,287,24,19,6.2135,35.53,340.548,1.483
94.5,37.3,42.9,5,1,0.3098,37.3,94.497,2.212
220.3,101,241,13,2,1.872,50.69,220.319,5.517
221.25,47.6,277,16,2,2.1183,47.56,221.256,4.646
184.11,112,220,13,0,1.2086,106.51,184.107,3.788
164.2,25.1,277,12,0,0.807,25.06,164.204,2.893
122.16,20.2,72.6,9,1,1.48732,20.23,122.167,1.496
306.27,156,330,21,12,-1.6811,155.68,306.271,2.282
144.21,18.5,71.7,10,7,1.9632,18.46,144.214,1.668
421.5,71.1,434,20,5,4.9865,37.38,421.557,2.458
225.24,56.8,218,16,5,1.6962,56.79,225.244,3.149
244.37,17.1,366,18,1,4.15912,17.07,244.378,2.158
86.16,25.3,32.9,5,2,2.0066,0,86.159,2.705
359.6,30.9,272,24,14,5.1366,30.93,359.627,2.006
194.23,46.5,162,14,6,1.1547,46.53,194.23,1.396
230.27,51,276,17,2,1.27752,51.02,230.271,2.663
197.19,64.3,188,14,3,1.8862,61.6,197.19,1.761
306,0,214,17,2,5.6721,0,306.019,3.26
244.95,0,255,13,0,3.5951,0,244.949,2.942
152.15,46.5,144,11,2,1.1788,46.53,152.149,2.234
289.4,114,398,18,3,3.069,63.05,289.426,3.963
123.15,36.3,169,9,0,1.07748,36.32,123.155,2.001
115.22,12,50.3,8,3,1.6404,12.03,115.22,2.42
257.28,59.3,347,19,4,2.19162,59.3,257.289,2.944
154.25,9.2,145,11,1,2.7677,9.23,154.253,1.555
100.16,17.1,57.2,7,3,1.7656,17.07,100.161,1.474
218.68,20.2,189,15,2,3.6364,20.23,218.683,2.109
242.3,76.9,152,13,8,4.4174,26.3,242.346,3.853
273.6,26.3,245,15,6,3.8922,26.3,273.587,1.937
232.41,60.9,202,12,0,-0.8226,66,232.41,2.758
121.18,26,90.6,9,0,1.88564,26.02,121.183,2.114
298.39,54,246,18,11,3.3975,53.99,298.392,2.481
243.74,53.9,198,16,5,2.1915,53.94,243.742,2.156
299.79,38.8,288,20,8,3.34962,38.77,299.798,2.155
232.27,35.5,289,17,2,2.7171,35.53,232.279,1.471
236.22,98.5,311,17,4,0.4857,98.49,236.227,2.051
418.6,27.7,261,28,21,8.9123,27.69,418.643,1.658
184.27,18.5,134,13,7,2.9079,18.46,184.279,1.935
443.6,71.1,583,26,8,5.52952,74.97,443.647,2.811
269.2,25.3,194,16,3,5.2857,0,269.196,2.129
274.4,0,226,19,3,5.4592,0,274.388,2.525
124.14,56.8,129,9,4,0.83036,56.81,124.143,1.642
